epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,2138.86,1.07945,0.76482,1.29986,0.79578,0.728,0.74477,0.45493,1.41904,0.91208,1.83558,0.000208813,0.000208813,0.000208813
71,2172.61,1.00215,0.66616,1.34254,0.78975,0.74242,0.74836,0.45749,1.40821,0.90477,1.8191,0.000191129,0.000191129,0.000191129
72,2205.32,1.01694,0.66285,1.33784,0.7742,0.72072,0.73946,0.45701,1.42179,0.8973,1.83911,0.000173445,0.000173445,0.000173445
73,2237.97,0.9849,0.6309,1.33275,0.79996,0.72598,0.74457,0.4616,1.39586,0.88145,1.80523,0.000155761,0.000155761,0.000155761
74,2269.78,0.99217,0.6393,1.33577,0.7981,0.71459,0.7492,0.46785,1.39964,0.88761,1.81133,0.000138077,0.000138077,0.000138077
75,2301.98,0.97248,0.62885,1.31707,0.81693,0.73168,0.75324,0.47019,1.40603,0.8902,1.82963,0.000120393,0.000120393,0.000120393
76,2331.62,0.9541,0.60971,1.30035,0.81368,0.7372,0.7535,0.46949,1.40848,0.88122,1.83358,0.000102709,0.000102709,0.000102709
77,2360.86,0.95123,0.62236,1.29899,0.78879,0.7482,0.7528,0.46933,1.40528,0.886,1.82798,8.50255e-05,8.50255e-05,8.50255e-05
78,2390.07,0.96907,0.61337,1.30585,0.78874,0.73844,0.75265,0.47055,1.3976,0.88025,1.8192,6.73416e-05,6.73416e-05,6.73416e-05
79,2419.4,0.96745,0.62129,1.31283,0.81432,0.72674,0.75073,0.46738,1.39583,0.88357,1.8214,4.96578e-05,4.96578e-05,4.96578e-05
80,2448.6,0.95453,0.61634,1.30122,0.83375,0.72127,0.75068,0.46542,1.39835,0.88217,1.82628,3.19739e-05,3.19739e-05,3.19739e-05
